"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N1168","QUARTERLY","MACRO","Auto.Arima",3927.20000000002,4143.80000000002,4361.40000000002,4314.60000000002,4099.00000000005,4315.60000000004,4533.20000000005,4486.40000000005
"N1168","QUARTERLY","MACRO","BSTS",3943.45021645821,4146.05245456952,4334.49890952988,4330.70500346621,4119.38300228178,4319.94028924571,4507.58089975463,4503.66742341427
"N1168","QUARTERLY","MACRO","ETS",3932.57596132619,4134.25841270494,4315.59100762074,4335.77756136404,4102.64612227843,4304.32857365718,4485.66116857298,4505.84772231628
"N1168","QUARTERLY","MACRO","THETA",4167.04706128943,4191.28676717178,4215.52647305413,4239.76617893648,4264.00588481884,4288.24559070119,4312.48529658354,4336.7250024659
"N1168","QUARTERLY","MACRO","BEA",3934.40872592814,4141.37028909149,4337.16330571688,4327.02752161009,4107.00970818675,4313.28962096764,4508.81402277588,4498.6383819102
"N1168","QUARTERLY","MACRO","EAT",4008.94100753855,4156.44839329225,4297.50582689163,4296.71458010018,4155.2173356991,4302.7247214528,4443.78215505219,4442.99090826074
"N1168","QUARTERLY","MACRO","BAT",4012.56575924922,4160.37974058044,4303.80846086134,4295.02372746757,4160.79629570022,4307.92862664898,4451.08873211274,4442.26414196007
"N1168","QUARTERLY","MACRO","BET",4014.35774635794,4157.19921148208,4288.53879673492,4302.08291458891,4162.01166979302,4304.17148453469,4435.24245497038,4448.74671606548
"N1168","QUARTERLY","MACRO","BEAT",3992.56830976846,4153.84940861157,4306.75409755119,4305.21218594169,4146.25875234477,4307.02861340103,4459.7318412278,4458.16003704912
"N1168","QUARTERLY","MACRO","medianBEAT",3938.0130888922,4144.92622728477,4325.04495857531,4322.65250173312,4111.01456228011,4309.96428682861,4496.6210341638,4495.03371170716
"N1168","QUARTERLY","MACRO","meanBaggedBEAT",3985.76025455602,4151.17832460764,4301.25717861595,4313.98253506962,4137.50174655153,4303.981204314,4454.75014996924,4466.47745267957
"N1168","QUARTERLY","MACRO","medianBaggedBEAT",3985.898659352,4153.0045591399,4299.86937096369,4315.14066217867,4136.40740073049,4306.7987794358,4454.04327800107,4468.00860710157
"N1168","QUARTERLY","MACRO","meanPertBEAT",3984.47375498156,4144.46157971201,4295.18247640393,4310.78773540201,4134.68159801791,4295.85130131614,4445.00094669529,4460.70762044866
"N1168","QUARTERLY","MACRO","medianPertBEAT",3983.68550475205,4141.68847664405,4300.74713417287,4311.78916553609,4132.922105197,4292.20471317322,4450.14185433522,4461.52874976441
