"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0185","YEARLY","INDUSTRY","Auto.Arima",13999.6521767134,14934.1043534268,15868.5565301402,16803.0087068536,17737.460883567,18671.9130602804
"N0185","YEARLY","INDUSTRY","BSTS",14050.509119636,14870.0201081757,15688.1635351928,16473.0280600628,17291.8752112683,18117.6211583437
"N0185","YEARLY","INDUSTRY","ETS",14027.8659520781,14990.4258129021,15952.9856737262,16915.5455345503,17878.1053953744,18840.6652561985
"N0185","YEARLY","INDUSTRY","THETA",13187.4673385554,13309.758370944,13432.0494033327,13554.3404357214,13676.63146811,13798.9225004987
"N0185","YEARLY","INDUSTRY","BEA",14026.0090828091,14931.5167581682,15836.5685796864,16730.5274338222,17635.8138300699,18543.3998249409
"N0185","YEARLY","INDUSTRY","EAT",13738.3284891156,14411.4295124243,15084.530535733,15757.6315590418,16430.7325823505,17103.8336056592
"N0185","YEARLY","INDUSTRY","BAT",13745.8762116349,14371.2942775155,14996.2564895552,15610.1257342126,16235.3225209818,16862.8189063743
"N0185","YEARLY","INDUSTRY","BET",13755.2808034231,14390.0680973406,15024.3995374172,15647.6380101115,16282.2040249176,16919.069638347
"N0185","YEARLY","INDUSTRY","BEAT",13816.3736467457,14526.0771613622,15235.438785598,15936.480684297,16646.0182395799,17357.2804938303
"N0185","YEARLY","INDUSTRY","medianBEAT",14013.7590643957,14902.0622308012,15778.3600326665,16638.0183834582,17514.6680474176,18394.7671093121
"N0185","YEARLY","INDUSTRY","meanBaggedBEAT",13951.801108246,14733.0904974764,15496.3297639235,16248.4832864195,17015.5689407902,17786.4956924254
"N0185","YEARLY","INDUSTRY","medianBaggedBEAT",14111.0899238003,14931.4873924638,15785.4316174511,16557.2092953336,17368.8138754611,18214.3951896267
"N0185","YEARLY","INDUSTRY","meanPertBEAT",14211.7654975673,14994.1889065099,15795.7116214306,16587.9733612757,17390.9193355318,18184.4662491044
"N0185","YEARLY","INDUSTRY","medianPertBEAT",13963.2073101675,14732.4426139819,15558.8551298299,16334.3050430244,17072.707571042,17828.2935604948
