"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N1058","QUARTERLY","MACRO","Auto.Arima",3944,3944,3944,3944,3944,3944,3944,3944
"N1058","QUARTERLY","MACRO","BSTS",4069.34427505464,3951.87227002619,4047.42558248336,3961.10180709637,3925.47976619944,3825.14240721004,3900.45644950747,3818.02848446774
"N1058","QUARTERLY","MACRO","ETS",4055.01187387082,4055.01187387082,4055.01187387082,4055.01187387082,4055.01187387082,4055.01187387082,4055.01187387082,4055.01187387082
"N1058","QUARTERLY","MACRO","THETA",4011.0352472225,3925.13203068482,4081.14679686101,4068.6510321487,4044.43913117733,3957.7525970455,4114.99363134924,4102.32441626136
"N1058","QUARTERLY","MACRO","BEA",4022.78538297515,3983.62804796567,4015.47915211806,3986.7045603224,3974.83054669009,3941.38476036029,3966.4894411261,3939.01345277952
"N1058","QUARTERLY","MACRO","EAT",4003.34904036444,3974.71463485188,4026.71955691061,4022.55430200651,4014.48366834938,3985.58815697211,4038.00183507336,4033.7787633774
"N1058","QUARTERLY","MACRO","BAT",4008.12650742571,3940.33476690367,4024.19079311479,3991.25094641502,3971.30629912559,3908.96500141851,3986.48336028557,3954.78430024303
"N1058","QUARTERLY","MACRO","BET",4045.13046538265,3977.33872486061,4061.19475107173,4028.25490437197,4008.31025708253,3945.96895937546,4023.48731824251,3991.78825819997
"N1058","QUARTERLY","MACRO","BEAT",4019.84784903699,3969.00404364546,4031.8960633038,4007.19117827897,3992.2326928119,3945.47671953159,4003.61548868188,3979.84119364998
"N1058","QUARTERLY","MACRO","medianBEAT",4033.02356054666,3947.9361350131,4051.21872817709,4008.0568404836,3994.21956558866,3950.87629852275,3999.50593693541,3999.50593693541
"N1058","QUARTERLY","MACRO","meanBaggedBEAT",4053.72472815399,4043.98367945628,4072.26239794505,4079.32930962238,4073.57546489022,4067.10507125884,4093.08851967428,4104.24055661569
"N1058","QUARTERLY","MACRO","medianBaggedBEAT",4070.30113840814,4056.73876312739,4081.28540888965,4093.15652834656,4076.21175099864,4081.20353034446,4089.01914531432,4100.88622882063
"N1058","QUARTERLY","MACRO","meanPertBEAT",4072.63807829738,4055.52118403877,4093.46896496014,4075.1386129537,4079.81874781713,4070.31540055532,4101.37792203214,4081.11819295982
"N1058","QUARTERLY","MACRO","medianPertBEAT",4066.72935108293,4078.19241463547,4099.25339917664,4083.29107130791,4078.13912502453,4095.55110219314,4102.00386406271,4093.19062559855
