"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"N2043","MONTHLY","INDUSTRY","Auto.Arima",3757.08713471759,3722.02520064616,3760.06930338488,3648.03469858578,3598.87231047806,3768.47640362239,3695.67946560351,3764.25666987922,3757.57189122041,3614.58000037255,3625.81767568223,3572.69942191365,3568.96694080736,3516.42523935682,3526.63141572039,3456.00237130105,3501.49945524696,3582.78372267032
"N2043","MONTHLY","INDUSTRY","BSTS",3921.81623930572,3892.24679476256,3990.94033079839,3784.9249006424,3668.04517401199,3982.82529471793,3614.19222567033,3947.63308589188,3653.74390134135,3586.00851209912,3673.84896910153,3592.38078126032,3723.74570224971,3716.85477478838,3813.1219316464,3593.41932012315,3453.47670067124,3779.23736412127
"N2043","MONTHLY","INDUSTRY","ETS",3969.80355861573,3976.79943687827,4084.83995866782,3880.36913216641,3754.63573328144,4093.42156727224,3743.90756964266,4121.06018014441,3843.99899432999,3780.68407251367,3873.16454853015,3810.61505287994,3969.80355861573,3976.79943687827,4084.83995866782,3880.36913216641,3754.63573328144,4093.42156727224
"N2043","MONTHLY","INDUSTRY","THETA",3904.87736090331,3885.76070542992,3970.73591489735,3808.02453670715,3700.3886558439,3950.92740669733,3641.84160309741,3914.67318912438,3702.24757497153,3635.40830885489,3712.19760391877,3649.15783596151,3742.81916929679,3723.9362203517,3804.79670867562,3648.32898018857,3544.66276320906,3784.07277236743
"N2043","MONTHLY","INDUSTRY","BEA",3882.90231087968,3863.690477429,3945.28319761703,3771.10957713153,3673.8510725905,3948.24108853752,3684.59308697217,3944.31664530517,3751.77159563058,3660.42419499511,3724.27706443797,3658.56508535131,3754.17206722427,3736.69315034116,3808.1977686782,3643.26360786354,3569.87062973321,3818.48088468794
"N2043","MONTHLY","INDUSTRY","EAT",3877.25601807888,3861.52844765145,3938.54839231668,3778.80945581978,3684.63223320113,3937.60845919732,3693.80954611453,3933.33001304934,3767.93948684064,3676.89079391371,3737.05994271038,3677.4907702517,3760.52988957329,3739.0536321956,3805.42269435461,3661.56682788534,3600.26598391249,3820.09268743666
"N2043","MONTHLY","INDUSTRY","BAT",3861.26024497554,3833.34423361288,3907.24851636021,3746.99471197845,3655.76871344465,3900.74303501255,3650.57109812375,3875.52098163183,3704.5211225111,3611.99894044219,3670.62141623417,3604.74601304516,3678.51060411795,3652.40541149897,3714.85001868081,3565.91689053759,3499.87963970908,3715.36461971967
"N2043","MONTHLY","INDUSTRY","BET",3932.16571960825,3918.26897902358,4015.50540145452,3824.43952317199,3707.68985437911,4009.0580895625,3666.64713280347,3994.45548505356,3733.33015688096,3667.36696448923,3753.07037385015,3684.05122336726,3812.12281005408,3805.86347733945,3900.91953299661,3707.37247749271,3584.25839905391,3885.57723458698
"N2043","MONTHLY","INDUSTRY","BEAT",3888.39607338559,3869.20803442923,3951.64637693711,3780.33831702544,3680.48546840385,3948.91266807747,3673.90521600348,3936.90578125997,3739.39059046582,3654.17022346006,3721.25719930817,3656.21327300386,3751.3338427424,3733.5039178438,3807.34750367756,3644.52995094479,3563.56866310217,3809.87885660781
"N2043","MONTHLY","INDUSTRY","medianBEAT",3913.34680010452,3889.00375009624,3980.83812284787,3796.47471867478,3684.21691492795,3966.87635070763,3668.76053435046,3931.15313750813,3729.90973309597,3624.99415461372,3693.02328651015,3620.76930861092,3733.28243577325,3720.39549757004,3808.95932016101,3620.87415015586,3523.08110922801,3781.65506824435
"N2043","MONTHLY","INDUSTRY","meanBaggedBEAT",3870.3023509879,3860.10000165564,3923.59926284927,3820.29087800852,3754.4029634796,3893.23922963532,3714.48394799752,3865.57966634682,3689.8424096708,3701.24414501614,3709.07716601975,3677.76225075479,3731.11024227754,3716.50471155996,3770.0130730714,3691.65020120677,3616.91552391421,3748.66744095864
"N2043","MONTHLY","INDUSTRY","medianBaggedBEAT",3854.0943772165,3876.91826481183,3912.5391778624,3824.21252888682,3735.77375562959,3875.77228643866,3696.12857398406,3832.91308304943,3716.17749114897,3708.30539875907,3713.29152702439,3687.31719052671,3717.82167867502,3700.48392616338,3749.96111018843,3677.07291574802,3598.48803296445,3724.4599290777
"N2043","MONTHLY","INDUSTRY","meanPertBEAT",3851.6135659928,3882.63826941232,3906.89180825596,3797.8275448578,3734.17522236425,3876.87920194671,3709.95272276541,3857.80217694439,3724.44780115653,3666.17913072747,3712.44844398262,3673.8177667239,3718.55962734327,3719.97683589108,3745.21437307568,3659.69614456768,3594.42154688885,3725.76210011822
"N2043","MONTHLY","INDUSTRY","medianPertBEAT",3852.07070560929,3845.76908530761,3881.37210202635,3784.09095323227,3722.40153053532,3848.37647339662,3722.17014667978,3838.0966799276,3707.12725203743,3643.72376250461,3687.723979458,3663.15650596012,3706.67592205494,3708.19621721364,3721.87927050481,3641.56208034787,3572.24132461496,3699.13552122486
