"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0343","YEARLY","FINANCE","Auto.Arima",4363.24372667112,4363.24372667112,4363.24372667112,4363.24372667112,4363.24372667112,4363.24372667112
"N0343","YEARLY","FINANCE","BSTS",4197.89959322377,3910.06570326148,3616.56263092131,3316.22744392577,3012.46536381633,2718.77170358699
"N0343","YEARLY","FINANCE","ETS",4470.04004122941,4470.04004122941,4470.04004122941,4470.04004122941,4470.04004122941,4470.04004122941
"N0343","YEARLY","FINANCE","THETA",4540.18165177749,4610.3162671621,4680.45088254672,4750.58549793133,4820.72011331595,4890.85472870056
"N0343","YEARLY","FINANCE","BEA",4343.72778704143,4247.783157054,4149.94879960728,4049.83707060877,3948.58304390562,3850.68515716251
"N0343","YEARLY","FINANCE","EAT",4457.82180655934,4481.20001168754,4504.57821681575,4527.95642194395,4551.33462707216,4574.71283220036
"N0343","YEARLY","FINANCE","BAT",4367.10832389079,4294.54189903157,4220.08574671305,4143.35222284274,4065.4764012678,3990.95671965289
"N0343","YEARLY","FINANCE","BET",4402.70709541022,4330.140670551,4255.68451823248,4178.95099436217,4101.07517278723,4026.55549117232
"N0343","YEARLY","FINANCE","BEAT",4392.84125322545,4338.41643458103,4282.57432034214,4225.02417743941,4166.6173112582,4110.72755004702
"N0343","YEARLY","FINANCE","medianBEAT",4416.64188395027,4416.64188395027,4416.64188395027,4416.64188395027,4416.64188395027,4416.64188395027
"N0343","YEARLY","FINANCE","meanBaggedBEAT",4246.22570964224,4092.17133971306,3962.94933942253,3827.16288097438,3695.81390046919,3534.41322668242
"N0343","YEARLY","FINANCE","medianBaggedBEAT",4250.51377332629,4064.42939190315,3907.96909505301,3708.54922538398,3565.58386144767,3401.40074742381
"N0343","YEARLY","FINANCE","meanPertBEAT",4371.02253063113,4263.90946751684,4161.53274828527,4058.96680213969,3976.88560065135,3840.56428249599
"N0343","YEARLY","FINANCE","medianPertBEAT",4403.26852846458,4354.56426458467,4324.80995536886,4298.52594691277,4246.20271581226,4163.92702720099
