"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"N2589","MONTHLY","FINANCE","Auto.Arima",6996.5568998845,7011.49678734723,7025.55000004857,7035.3123792349,7045.73359025863,7051.64588836006,7066.35096851201,7087.50874388158,7113.31731318073,7135.95082425071,7156.19104595817,7173.29743550624,7191.28894697696,7209.61785268061,7227.48009680705,7243.08405275066,7259.03475534563,7272.61239342196
"N2589","MONTHLY","FINANCE","BSTS",6976.79710861861,6981.80213006782,6988.28440760591,6996.59643731922,7003.19263696195,7014.53255455192,7021.05819985921,7024.9753133033,7028.08614047809,7032.30998787949,7036.17741885809,7040.96096710952,7043.88177946707,7050.67378767704,7057.17280952847,7065.25714895873,7072.85380212453,7086.5161108317
"N2589","MONTHLY","FINANCE","ETS",6993.17315927129,7005.99299730366,7017.37532286497,7027.48132692342,7036.45412580176,7044.42078792116,7051.49413328256,7057.77433116866,7063.35031869273,7068.3010602828,7072.69666593755,7076.59938409009,7080.06448314003,7083.14103413771,7085.87260570462,7088.29788103104,7090.45120568861,7092.36307401563
"N2589","MONTHLY","FINANCE","THETA",6990.61123324887,7005.02671898839,7018.27949885349,7035.56459754428,7052.06514553084,7067.28088011403,7076.27036885334,7090.11610710553,7100.38935322364,7115.19842100361,7129.17678441606,7138.70484841148,7150.48224885515,7164.92268103395,7178.17382320624,7195.54898284578,7212.12144464975,7227.37971597871
"N2589","MONTHLY","FINANCE","BEA",6988.84238925814,6999.76397157291,7010.40324350648,7019.79671449251,7028.46011767411,7036.86641027771,7046.30110055126,7056.75279611784,7068.25125745052,7078.853957471,7088.35504358461,7096.95259556862,7105.07840319468,7114.47755816512,7123.50850401338,7132.21302758014,7140.77992105292,7150.49719275643
"N2589","MONTHLY","FINANCE","EAT",6993.44709746822,7007.5055012131,7020.40160725568,7032.7861012342,7044.75095386374,7054.44918546508,7064.70515688263,7078.46639405192,7092.3523283657,7106.48343517904,7119.35483210393,7129.53388933594,7140.61189299071,7152.56052261742,7163.8421752393,7175.64363887583,7187.20246856133,7197.45172780543
"N2589","MONTHLY","FINANCE","BAT",6987.98841391733,6999.44187880115,7010.70463550266,7022.4911380328,7033.66379091714,7044.48644100867,7054.55984574152,7067.5333880968,7080.59760229415,7094.48641104461,7107.18174974411,7117.65441700908,7128.55099176639,7141.73810713053,7154.27557651392,7167.96339485173,7181.3366673733,7195.50274007746
"N2589","MONTHLY","FINANCE","BET",6986.86050037959,6997.60728211996,7007.97974310812,7019.88078726231,7030.57063609818,7042.0780741957,7049.6075673317,7057.62191719249,7063.94193746482,7071.93648972197,7079.35028973724,7085.4217332037,7091.47617048742,7099.57916761623,7107.07307947978,7116.36800427852,7125.14215082096,7135.41963360868
"N2589","MONTHLY","FINANCE","BEAT",6989.28460025582,7001.07965842678,7012.37230734323,7023.73868525545,7034.3613746383,7044.47002773679,7053.79341762678,7065.09362386477,7076.2857813938,7087.94007335415,7098.56047879247,7107.39065877933,7116.4293646098,7127.08883888233,7137.17483381159,7148.04701639655,7158.61530195213,7169.717823562
"N2589","MONTHLY","FINANCE","medianBEAT",6991.89219626009,7005.50985814603,7017.82741085923,7031.39685307916,7041.0938580302,7048.03333814061,7058.92255089728,7072.64153752512,7081.86983595818,7091.7497406432,7100.93672517681,7107.65211625079,7115.27336599759,7124.03185758583,7132.02321445543,7141.92343193841,7151.28632516918,7159.87139499717
"N2589","MONTHLY","FINANCE","meanBaggedBEAT",6996.91412783606,7009.43500918878,7020.80927958332,7034.12525748501,7044.53275423677,7058.46596561845,7071.2906318117,7084.11149760756,7096.51178704819,7109.04221483931,7121.61206224108,7134.57119099941,7147.41585520823,7159.7145113843,7171.23472201892,7184.48322211974,7194.81169097856,7209.08207830207
"N2589","MONTHLY","FINANCE","medianBaggedBEAT",6994.3297502904,7006.71320634226,7018.17376746464,7032.09574474109,7041.93989226082,7057.70965971544,7072.51928048227,7084.78851289046,7097.28248359925,7109.72041803941,7124.32441566374,7137.56298320476,7150.3572372239,7162.56438702257,7174.77108760397,7188.64396241192,7198.31411236036,7213.9166897085
"N2589","MONTHLY","FINANCE","meanPertBEAT",7004.35932709426,7015.57446396136,7028.28299593854,7041.05148728428,7050.79729615947,7064.87343335763,7077.30112095175,7088.27365974903,7101.64946897544,7113.39671609017,7125.6548124747,7137.50474230464,7149.8771475219,7160.82984263393,7173.14919372071,7185.81923131837,7195.60080502201,7209.67491704516
"N2589","MONTHLY","FINANCE","medianPertBEAT",7002.89830651404,7013.2617359116,7025.48718207684,7038.38331668222,7046.92363034842,7061.98132162527,7071.68371220793,7082.4241951882,7096.08569095928,7107.61301073345,7118.84633067266,7131.26215574403,7140.00081190262,7150.62495577262,7162.40317147701,7176.75048105211,7185.80663323363,7199.4460405504
