"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0391","YEARLY","DEMOGRAPHIC","Auto.Arima",1849.39779275256,1871.26558550512,1893.13337825768,1915.00117101024,1936.8689637628,1958.73675651536
"N0391","YEARLY","DEMOGRAPHIC","BSTS",1847.53352036695,1869.01460762531,1889.9450112988,1911.49971496319,1932.32855137041,1954.08963548025
"N0391","YEARLY","DEMOGRAPHIC","ETS",1849.42112545819,1871.31216955572,1893.20321365325,1915.09425775078,1936.98530184831,1958.87634594584
"N0391","YEARLY","DEMOGRAPHIC","THETA",1838.54274547867,1849.55655645428,1860.57036742989,1871.5841784055,1882.59798938111,1893.61180035672
"N0391","YEARLY","DEMOGRAPHIC","BEA",1848.78414619256,1870.53078756205,1892.09386773658,1913.86504790807,1935.39427232718,1957.23424598049
"N0391","YEARLY","DEMOGRAPHIC","EAT",1845.78722122981,1864.04477050504,1882.30231978027,1900.55986905551,1918.81741833074,1937.07496760597
"N0391","YEARLY","DEMOGRAPHIC","BAT",1845.15801953273,1863.27891652824,1881.21625232879,1899.36168812631,1917.26516817144,1935.47939745078
"N0391","YEARLY","DEMOGRAPHIC","BET",1845.16579710127,1863.2944445451,1881.23953079398,1899.39271703982,1917.30394753328,1935.52592726094
"N0391","YEARLY","DEMOGRAPHIC","BEAT",1846.22379601409,1865.28722978511,1884.21299265991,1903.29483053243,1922.19520159066,1941.32863457454
"N0391","YEARLY","DEMOGRAPHIC","medianBEAT",1848.46565655975,1870.14009656522,1891.53919477824,1913.25044298672,1934.59875756661,1956.41319599781
"N0391","YEARLY","DEMOGRAPHIC","meanBaggedBEAT",1845.77888379992,1864.52054902048,1883.30836770866,1902.04018494994,1920.87652516963,1939.63422243423
"N0391","YEARLY","DEMOGRAPHIC","medianBaggedBEAT",1846.44021623242,1865.25120028426,1884.12138547059,1902.84483216287,1921.72458174646,1940.48295611157
"N0391","YEARLY","DEMOGRAPHIC","meanPertBEAT",1846.5635139197,1865.75908321182,1884.94588899159,1904.15269293894,1923.39821571187,1942.62530742411
"N0391","YEARLY","DEMOGRAPHIC","medianPertBEAT",1846.46352559905,1865.43334425421,1884.54657663198,1903.63556413875,1922.80105747738,1941.9112535923
