"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N1246","QUARTERLY","MACRO","Auto.Arima",4356.09302325572,4396.18604651144,4436.27906976716,4476.37209302288,4516.4651162786,4556.55813953433,4596.65116279005,4636.74418604577
"N1246","QUARTERLY","MACRO","BSTS",4373.87809749587,4335.71779340603,4306.45503944766,4292.15243338779,4276.09098544732,4238.17060861691,4209.89177773246,4192.82599633144
"N1246","QUARTERLY","MACRO","ETS",4299.08307948753,4279.86084659309,4260.63861369866,4241.41638080422,4222.19414790978,4202.97191501535,4183.74968212091,4164.52744922647
"N1246","QUARTERLY","MACRO","THETA",4342.61551362581,4361.97017500054,4375.46831245551,4428.9775191519,4455.53069605885,4474.65610550534,4487.77760829037,4541.93543704677
"N1246","QUARTERLY","MACRO","BEA",4343.01806674637,4337.25489550352,4334.45757430449,4336.64696907163,4338.2500832119,4332.56688772219,4330.09754088114,4331.36587720123
"N1246","QUARTERLY","MACRO","EAT",4332.59720545635,4346.00568936836,4357.46199864044,4382.255330993,4398.06332008241,4411.39538668501,4422.72615106711,4447.735690773
"N1246","QUARTERLY","MACRO","BAT",4357.5288781258,4364.62467163934,4372.73414055678,4399.16734852086,4416.02893259493,4423.12828455219,4431.44018293762,4457.16853980799
"N1246","QUARTERLY","MACRO","BET",4338.5255635364,4325.84960499989,4314.18732186727,4320.8487777813,4317.93860980532,4305.26620971253,4293.80635604791,4299.76296086823
"N1246","QUARTERLY","MACRO","BEAT",4342.91742846623,4343.43371537778,4344.71025884225,4359.7296065917,4367.57023642364,4368.08919216798,4369.51755773345,4384.00826716261
"N1246","QUARTERLY","MACRO","medianBEAT",4349.35426844077,4348.84398420328,4340.96167595158,4360.56497626984,4365.81084075309,4356.41335706112,4348.83469301141,4367.38071668911
"N1246","QUARTERLY","MACRO","meanBaggedBEAT",4399.2737240178,4398.94614081941,4405.57875159973,4413.53100766715,4420.35468336374,4420.29661692285,4428.2142083313,4436.84732956148
"N1246","QUARTERLY","MACRO","medianBaggedBEAT",4409.83748614033,4404.65956058409,4410.66761755945,4415.05848265912,4425.35159391749,4419.62743843044,4429.50403035402,4435.91047883482
"N1246","QUARTERLY","MACRO","meanPertBEAT",4407.59109264039,4404.08649744269,4412.6890745673,4425.54870995652,4436.43434009606,4434.86908264034,4442.16214986923,4456.56369880887
"N1246","QUARTERLY","MACRO","medianPertBEAT",4415.79685890265,4414.88519289156,4422.52556781278,4437.24492716836,4450.32975874744,4449.10290003302,4460.58133240161,4472.86321703672
