"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0424","YEARLY","DEMOGRAPHIC","Auto.Arima",2110,2110,2110,2110,2110,2110
"N0424","YEARLY","DEMOGRAPHIC","BSTS",2080.6587272324,2065.49706378896,1993.02041980348,1963.25206275928,1913.23398994682,1899.44631697651
"N0424","YEARLY","DEMOGRAPHIC","ETS",2110.02010006219,2110.02010006219,2110.02010006219,2110.02010006219,2110.02010006219,2110.02010006219
"N0424","YEARLY","DEMOGRAPHIC","THETA",2075.2371128147,2040.45770105,2005.67828928529,1970.89887752059,1936.11946575588,1901.34005399117
"N0424","YEARLY","DEMOGRAPHIC","BEA",2100.22627576486,2095.17238795038,2071.01350662189,2061.09072094049,2044.41803000301,2039.8221390129
"N0424","YEARLY","DEMOGRAPHIC","EAT",2098.41907095897,2086.82593370406,2075.23279644916,2063.63965919426,2052.04652193936,2040.45338468446
"N0424","YEARLY","DEMOGRAPHIC","BAT",2088.63194668237,2071.98492161299,2036.23290302959,2014.71698009329,1986.4511519009,1970.2621236559
"N0424","YEARLY","DEMOGRAPHIC","BET",2088.6386467031,2071.99162163372,2036.23960305032,2014.72368011402,1986.45785192163,1970.26882367663
"N0424","YEARLY","DEMOGRAPHIC","BEAT",2093.97898502732,2081.49371622529,2054.67970228774,2038.54276008552,2017.34338894122,2005.20161775747
"N0424","YEARLY","DEMOGRAPHIC","medianBEAT",2095.3293636162,2087.74853189448,2057.83914464265,2040.44943876029,2023.05973287794,2005.67002699559
"N0424","YEARLY","DEMOGRAPHIC","meanBaggedBEAT",2114.5977994983,2069.83949647663,2045.42851966528,2010.5535433906,1957.36679870432,1908.44263769505
"N0424","YEARLY","DEMOGRAPHIC","medianBaggedBEAT",2130.28477781228,2077.01440809714,2088.01342315572,2051.18743590019,1964.068329119,1922.17543957007
"N0424","YEARLY","DEMOGRAPHIC","meanPertBEAT",2112.31040876441,2083.35077815094,2055.42139132745,2029.7546787589,2001.56831132695,1974.91094189338
"N0424","YEARLY","DEMOGRAPHIC","medianPertBEAT",2066.8000207706,2029.530666414,1992.248756974,1960.31669726431,1924.02172266032,1890.87830482789
