"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0252","YEARLY","MACRO","Auto.Arima",5236.99999999996,5347.99999999993,5458.99999999989,5569.99999999985,5680.99999999981,5791.99999999978
"N0252","YEARLY","MACRO","BSTS",5199.85320130781,5296.01133733601,5389.08313715642,5483.19867754231,5571.41661436124,5665.84238957803
"N0252","YEARLY","MACRO","ETS",5228.25136550699,5330.50642710962,5432.76148871225,5535.01655031488,5637.27161191751,5739.52667352015
"N0252","YEARLY","MACRO","THETA",5179.56199189267,5233.13123208875,5286.70047228483,5340.2697124809,5393.83895267698,5447.40819287306
"N0252","YEARLY","MACRO","BEA",5221.70152227159,5324.83925481519,5426.94820862285,5529.40507595235,5629.89607542619,5732.45635436598
"N0252","YEARLY","MACRO","EAT",5214.93778579987,5303.87921973276,5392.82065366566,5481.76208759855,5570.70352153144,5659.64495546433
"N0252","YEARLY","MACRO","BAT",5205.47173106681,5292.38085647489,5378.26120314704,5464.48946334102,5548.75185567934,5635.08352748362
"N0252","YEARLY","MACRO","BET",5202.55551956915,5286.54966551146,5369.51503271783,5452.82831344603,5534.17572631858,5617.59241865708
"N0252","YEARLY","MACRO","BEAT",5211.16663967686,5301.91224913358,5391.88627453835,5482.12123508449,5570.88179473889,5661.19431399275
"N0252","YEARLY","MACRO","medianBEAT",5214.0522834074,5313.25888222281,5410.92231293433,5509.1076139286,5604.34411313938,5702.68453154909
"N0252","YEARLY","MACRO","meanBaggedBEAT",5196.2342777458,5275.95491183034,5354.6617039937,5433.4430308674,5511.43545499793,5589.02935042623
"N0252","YEARLY","MACRO","medianBaggedBEAT",5202.16114154593,5287.11256022452,5367.0298175271,5446.91464926694,5525.46611662349,5603.6442513756
"N0252","YEARLY","MACRO","meanPertBEAT",5187.15442746213,5266.2816945498,5344.32929972132,5422.13184022704,5500.12688246799,5577.24734940587
"N0252","YEARLY","MACRO","medianPertBEAT",5198.52069593134,5281.87375853528,5363.58949817018,5442.22363563409,5519.76121897517,5596.30286237823
