"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0201","YEARLY","INDUSTRY","Auto.Arima",1116.29073742109,772.996326636687,649.880645038985,526.764963441283,403.649281843581,280.533600245879
"N0201","YEARLY","INDUSTRY","BSTS",1050.24535565286,1014.10987497669,948.304376729362,812.56882361853,818.897192561752,733.475674638286
"N0201","YEARLY","INDUSTRY","ETS",1072.48489953569,1072.48489953569,1072.48489953569,1072.48489953569,1072.48489953569,1072.48489953569
"N0201","YEARLY","INDUSTRY","THETA",888.55685346696,802.375013732488,716.193173998017,630.011334263546,543.829494529074,457.647654794603
"N0201","YEARLY","INDUSTRY","BEA",1079.67366420321,953.197033716354,890.223307101344,803.9395621985,765.01045798034,695.49805813995
"N0201","YEARLY","INDUSTRY","EAT",1025.77749680791,882.618746634954,812.852906190896,743.087065746838,673.321225302781,603.555384858723
"N0201","YEARLY","INDUSTRY","BAT",1018.36431551364,863.160405115288,771.459398588788,656.448373774453,588.791989644802,490.552309892923
"N0201","YEARLY","INDUSTRY","BET",1003.76236955184,962.989929414954,912.327483421022,838.355019139254,811.737195542171,754.536076322858
"N0201","YEARLY","INDUSTRY","BEAT",1031.89446151915,915.491528720387,846.715773825513,760.457505214761,709.715217117523,636.035457303614
"N0201","YEARLY","INDUSTRY","medianBEAT",1061.36512759428,908.242444354588,832.248775363689,721.290078941038,681.363343545413,595.561664716444
"N0201","YEARLY","INDUSTRY","meanBaggedBEAT",1051.59998883533,934.738114413375,882.308147222835,820.184041542036,741.706406355867,704.915190890886
"N0201","YEARLY","INDUSTRY","medianBaggedBEAT",1048.82312868355,980.420927737013,885.361211364531,798.8151236523,758.482664135913,735.091058454873
"N0201","YEARLY","INDUSTRY","meanPertBEAT",972.622236835086,880.201074791084,811.004481313899,740.07181498039,664.543694746966,601.107164899144
"N0201","YEARLY","INDUSTRY","medianPertBEAT",951.769676632731,867.161884625449,808.410057013439,754.09874749941,664.405598175796,585.886925209225
