"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0404","YEARLY","DEMOGRAPHIC","Auto.Arima",10500,10500,10500,10500,10500,10500
"N0404","YEARLY","DEMOGRAPHIC","BSTS",11339.6772614917,11409.9167833773,11374.1500695912,11427.087472556,11395.0735526743,11431.6451090884
"N0404","YEARLY","DEMOGRAPHIC","ETS",10883.044780558,10883.044780558,10883.044780558,10883.044780558,10883.044780558,10883.044780558
"N0404","YEARLY","DEMOGRAPHIC","THETA",10982.9877665188,11065.0984607026,11147.2091548865,11229.3198490704,11311.4305432542,11393.5412374381
"N0404","YEARLY","DEMOGRAPHIC","BEA",10907.5740140166,10930.9871879784,10919.0649500497,10936.710751038,10926.0394444108,10938.2299632155
"N0404","YEARLY","DEMOGRAPHIC","EAT",10788.6775156923,10816.0477470869,10843.4179784815,10870.7882098761,10898.1584412707,10925.5286726654
"N0404","YEARLY","DEMOGRAPHIC","BAT",10940.8883426702,10991.6717480266,11007.1197414926,11052.1357738755,11068.8346986428,11108.3954488422
"N0404","YEARLY","DEMOGRAPHIC","BET",11068.5699361895,11119.353341546,11134.8013350119,11179.8173673948,11196.5162921622,11236.0770423615
"N0404","YEARLY","DEMOGRAPHIC","BEAT",10926.4274521421,10964.5150061595,10976.1010012589,11009.8630255461,11022.3872191216,11052.0577817711
"N0404","YEARLY","DEMOGRAPHIC","medianBEAT",10933.0162735384,10974.0716206303,11015.1269677222,11056.1823148142,11097.2376619061,11138.293008998
"N0404","YEARLY","DEMOGRAPHIC","meanBaggedBEAT",10421.1271374432,10411.7534762821,10408.7378117178,10407.9667677891,10384.5462936053,10383.6349189353
"N0404","YEARLY","DEMOGRAPHIC","medianBaggedBEAT",10565.6233713491,10549.1044612066,10601.2443050315,10651.3343944646,10650.7615261973,10696.0321750527
"N0404","YEARLY","DEMOGRAPHIC","meanPertBEAT",11213.7344937258,11227.1808313695,11325.2292853303,11316.6695202303,11375.0468580072,11397.5712676129
"N0404","YEARLY","DEMOGRAPHIC","medianPertBEAT",11445.5412451937,11438.0993034856,11589.7386693211,11546.8407215745,11654.0297963618,11672.6934440272
