"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0323","YEARLY","MACRO","Auto.Arima",5192.43333333296,5384.86666666592,5577.29999999887,5769.73333333183,5962.16666666479,6154.59999999775
"N0323","YEARLY","MACRO","BSTS",4965.05549276614,5145.15265700732,5327.48880757162,5502.86229640429,5664.08332367525,5860.51755117649
"N0323","YEARLY","MACRO","ETS",4964.69978625119,5134.09167546851,5303.48356468583,5472.87545390314,5642.26734312046,5811.65923233778
"N0323","YEARLY","MACRO","THETA",5075.64001028298,5156.44662793004,5237.2532455771,5318.05986322416,5398.86648087121,5479.67309851827
"N0323","YEARLY","MACRO","BEA",5040.72953745009,5221.37033304725,5402.75745741877,5581.82369454642,5756.17244448683,5942.25892783734
"N0323","YEARLY","MACRO","EAT",5077.59104328904,5225.13499002149,5372.67893675393,5520.22288348638,5667.76683021882,5815.31077695127
"N0323","YEARLY","MACRO","BAT",5077.70961212736,5228.82198386776,5380.68068438253,5530.21849765343,5675.03882373708,5831.59688323084
"N0323","YEARLY","MACRO","BET",5001.79842976677,5145.23032013529,5289.40853927818,5431.2658711772,5568.40571588898,5717.28329401085
"N0323","YEARLY","MACRO","BEAT",5049.45715565832,5205.13940676795,5361.38140445835,5515.88273671586,5666.84595358293,5826.61247050757
"N0323","YEARLY","MACRO","medianBEAT",5020.34775152456,5150.79964246868,5315.48618612872,5487.86887515372,5653.17533339786,5836.08839175714
"N0323","YEARLY","MACRO","meanBaggedBEAT",5009.03932016805,5159.14291324524,5313.9253460899,5471.20346756675,5622.67843058716,5777.82578423715
"N0323","YEARLY","MACRO","medianBaggedBEAT",4953.79689790965,5102.22969284927,5253.15845149088,5404.36483133011,5551.44541709371,5697.86743622051
"N0323","YEARLY","MACRO","meanPertBEAT",4984.49722145385,5142.32623415084,5286.96603185833,5437.91894946643,5586.8558531872,5736.42861355879
"N0323","YEARLY","MACRO","medianPertBEAT",4940.78990416722,5115.80755502504,5260.37334767358,5423.88566320368,5579.50931416777,5736.09983119161
