"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0443","YEARLY","DEMOGRAPHIC","Auto.Arima",10182.6761333896,10335.4022431602,10335.4022431602,10335.4022431602,10335.4022431602,10335.4022431602
"N0443","YEARLY","DEMOGRAPHIC","BSTS",10377.7336971531,10388.5571595652,10422.8723585115,10417.0549314771,10408.8448821332,10428.6913236906
"N0443","YEARLY","DEMOGRAPHIC","ETS",10349.1145617774,10349.1145617774,10349.1145617774,10349.1145617774,10349.1145617774,10349.1145617774
"N0443","YEARLY","DEMOGRAPHIC","THETA",10348.2230889602,10345.7838032459,10343.3445175317,10340.9052318174,10338.4659461031,10336.0266603888
"N0443","YEARLY","DEMOGRAPHIC","BEA",10303.17479744,10357.6913215009,10369.1297211497,10367.1905788049,10364.4538956903,10371.0693762094
"N0443","YEARLY","DEMOGRAPHIC","EAT",10293.3379280424,10343.4335360612,10342.6204408231,10341.807345585,10340.9942503469,10340.1811551088
"N0443","YEARLY","DEMOGRAPHIC","BAT",10302.8776398343,10356.5810686571,10367.2063730678,10364.4541354849,10360.9043571322,10366.7067424132
"N0443","YEARLY","DEMOGRAPHIC","BET",10358.3571159636,10361.1518415295,10371.7771459402,10369.0249083573,10365.4751300046,10371.2775152856
"N0443","YEARLY","DEMOGRAPHIC","BEAT",10314.4368703201,10354.7144419372,10362.6834202452,10360.619242058,10357.9569082935,10362.3086972542
"N0443","YEARLY","DEMOGRAPHIC","medianBEAT",10348.6688253688,10347.4491825117,10346.2295396545,10345.0098967974,10343.7902539402,10342.5706110831
"N0443","YEARLY","DEMOGRAPHIC","meanBaggedBEAT",10326.503343879,10341.6572470543,10341.4776873402,10328.1507838045,10337.3868461151,10336.0530536252
"N0443","YEARLY","DEMOGRAPHIC","medianBaggedBEAT",10345.847873638,10345.8790927238,10347.166338023,10341.3136700046,10344.0698700983,10339.6818674205
"N0443","YEARLY","DEMOGRAPHIC","meanPertBEAT",10468.4413393164,10473.6867584569,10484.9501230005,10491.0310543246,10515.541718905,10522.6435770374
"N0443","YEARLY","DEMOGRAPHIC","medianPertBEAT",10407.7923292566,10412.6693601339,10422.4309147436,10433.9862965414,10444.4523241701,10457.1191503036
