"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0615","YEARLY","DEMOGRAPHIC","Auto.Arima",4844.80458920616,4844.80458920616,4844.80458920616,4844.80458920616,4844.80458920616,4844.80458920616
"N0615","YEARLY","DEMOGRAPHIC","BSTS",5139.42930701046,5139.5388700257,5130.4321746255,5097.73061465248,5138.56960942871,5169.87406080582
"N0615","YEARLY","DEMOGRAPHIC","ETS",4861.78635327585,4861.78635327585,4861.78635327585,4861.78635327585,4861.78635327585,4861.78635327585
"N0615","YEARLY","DEMOGRAPHIC","THETA",4992.30709774966,5053.3351679251,5114.36323810054,5175.39130827598,5236.41937845141,5297.44744862685
"N0615","YEARLY","DEMOGRAPHIC","BEA",4948.67341649749,4948.70993750257,4945.67437236917,4934.77385237816,4948.38685063691,4958.82166776261
"N0615","YEARLY","DEMOGRAPHIC","EAT",4899.63268007722,4919.9753701357,4940.31806019418,4960.66075025266,4981.00344031114,5001.34613036962
"N0615","YEARLY","DEMOGRAPHIC","BAT",4992.18033132209,5012.55954238565,5029.86666731073,5039.3088373782,5073.26452569543,5104.04203287961
"N0615","YEARLY","DEMOGRAPHIC","BET",4997.84091934532,5018.22013040888,5035.52725533396,5044.96942540143,5078.92511371866,5109.70262090284
"N0615","YEARLY","DEMOGRAPHIC","BEAT",4959.58183681053,4974.8662451082,4987.84658880201,4994.92821635261,5020.39498259053,5043.47811297867
"N0615","YEARLY","DEMOGRAPHIC","medianBEAT",4927.04672551275,4957.56076060047,4988.07479568819,4979.75848396416,5000.17798135228,5015.83020704084
"N0615","YEARLY","DEMOGRAPHIC","meanBaggedBEAT",4834.98708488608,4821.87828870401,4861.9845976361,4858.04947731303,4891.8075707499,4898.95190252597
"N0615","YEARLY","DEMOGRAPHIC","medianBaggedBEAT",4773.7220238626,4764.03457894249,4769.01453441992,4761.48275418271,4780.93355145314,4757.79024099403
"N0615","YEARLY","DEMOGRAPHIC","meanPertBEAT",5249.77765722717,5288.31075157965,5329.9210703834,5375.86750943688,5423.27401512595,5488.42574939149
"N0615","YEARLY","DEMOGRAPHIC","medianPertBEAT",5215.3859015815,5262.66717178465,5277.484567889,5340.13465258593,5370.48821975255,5423.7114023429
