"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N1222","QUARTERLY","MACRO","Auto.Arima",7257.96220882991,7426.64441765983,7595.32662648975,7764.00883531966,7932.69104414958,8101.37325297949,8270.05546180941,8438.73767063933
"N1222","QUARTERLY","MACRO","BSTS",7257.27580815281,7414.11034272108,7602.71600587764,7767.83178489305,7924.65904469916,8084.97875318405,8273.26010643933,8439.57476933116
"N1222","QUARTERLY","MACRO","ETS",7256.49284365537,7423.70549121555,7590.91813877574,7758.13078633592,7925.34343389611,8092.5560814563,8259.76872901648,8426.98137657667
"N1222","QUARTERLY","MACRO","THETA",7105.09041411555,7128.87231572506,7198.57309898357,7231.13109118286,7246.56372708814,7270.116067794,7340.49485587216,7372.99551385161
"N1222","QUARTERLY","MACRO","BEA",7257.2436202127,7421.48675053215,7596.32025704771,7763.32380218288,7927.56450758162,8092.96936253995,8267.69476575508,8435.09793884905
"N1222","QUARTERLY","MACRO","EAT",7206.51515553361,7326.40740820015,7461.60595474968,7584.42357094615,7701.53273504461,7821.34846740993,7956.77301556602,8079.57152035587
"N1222","QUARTERLY","MACRO","BAT",7206.77614369943,7323.20902536866,7465.53857711698,7587.65723713186,7701.30460531229,7818.82269131918,7961.27014137364,8083.7693179407
"N1222","QUARTERLY","MACRO","BET",7206.28635530791,7322.22938322057,7464.06908121232,7585.69788747061,7698.85540189447,7815.88363414478,7957.84123044266,8079.85055325315
"N1222","QUARTERLY","MACRO","BEAT",7219.20531868841,7348.33314183038,7496.88346753167,7630.27562443287,7757.31431245825,7887.25603885346,8035.89478828435,8169.57233259969
"N1222","QUARTERLY","MACRO","medianBEAT",7256.88432590409,7418.90791696832,7593.12238263274,7761.06981082779,7925.00123929764,8088.76741732017,8264.91209541295,8432.859523608
"N1222","QUARTERLY","MACRO","meanBaggedBEAT",7226.19727062057,7372.22632494634,7534.61965978567,7685.20550326624,7807.61642389918,7952.16197314527,8115.60315453994,8266.4358117624
"N1222","QUARTERLY","MACRO","medianBaggedBEAT",7211.68643429779,7344.89556367636,7492.81341713943,7644.96404403746,7752.56445934246,7892.74438405532,8048.8369583288,8205.55523151601
"N1222","QUARTERLY","MACRO","meanPertBEAT",7257.80153003906,7408.63152505581,7571.7213737447,7720.09629484483,7852.3785788266,8002.86689734428,8165.72003283854,8314.23699012041
"N1222","QUARTERLY","MACRO","medianPertBEAT",7235.49558879498,7378.00987928682,7543.0480480799,7684.28034449382,7807.54192495076,7957.61679751064,8121.19836302001,8259.96081874934
