"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N1115","QUARTERLY","MACRO","Auto.Arima",8138.37341080741,8121.75089911389,8263.9223347441,8430.68313162034,8506.56004633972,8608.32864671941,8663.05337078071,8710.49331548675
"N1115","QUARTERLY","MACRO","BSTS",8319.25979994094,8372.10355469047,8375.49706462706,8443.02076786484,8623.78914997524,8679.80824268192,8674.24683768026,8739.67111570006
"N1115","QUARTERLY","MACRO","ETS",8164.10988149574,8228.55697473379,8293.00406797185,8357.4511612099,8421.89825444795,8486.345347686,8550.79244092405,8615.2395341621
"N1115","QUARTERLY","MACRO","THETA",8132.52916936527,8193.86994263295,8138.37289610743,8252.98573246123,8318.30356147567,8379.98270409035,8322.18137587,8438.33623577231
"N1115","QUARTERLY","MACRO","BEA",8207.2476974147,8240.80380951272,8310.80782244767,8410.38502023169,8517.41581692097,8591.49407902911,8629.36421646168,8688.46798844963
"N1115","QUARTERLY","MACRO","EAT",8145.00415388947,8181.39260549355,8231.76643294113,8347.04000843049,8415.58728742111,8491.55223283192,8512.00906252492,8588.02302847372
"N1115","QUARTERLY","MACRO","BAT",8196.72079337121,8229.24146547911,8259.26409849286,8375.5632106488,8482.88425259688,8556.03986449723,8553.16052811033,8629.5002223197
"N1115","QUARTERLY","MACRO","BET",8205.29961693398,8264.84349068574,8268.95800956878,8351.15255384532,8454.66365529962,8515.37876481942,8515.74021815811,8597.74896187815
"N1115","QUARTERLY","MACRO","BEAT",8188.56806540234,8229.07034279278,8267.69909086261,8371.03519828908,8467.63775305964,8538.61623529442,8552.56850631376,8625.9350502803
"N1115","QUARTERLY","MACRO","medianBEAT",8151.24164615158,8211.21345868337,8278.46320135798,8394.06714641512,8464.22915039384,8547.3369972027,8606.92290585238,8662.86642482442
"N1115","QUARTERLY","MACRO","meanBaggedBEAT",8299.97367116742,8331.26371522167,8380.32208606827,8448.77163799406,8539.12994100023,8619.72987552921,8690.71780548813,8780.78288977137
"N1115","QUARTERLY","MACRO","medianBaggedBEAT",8293.75402967678,8314.51713111324,8367.74001735838,8431.46216524634,8538.5946614579,8658.10798271342,8705.98361298834,8798.62684527824
"N1115","QUARTERLY","MACRO","meanPertBEAT",8284.41159193005,8346.80684396919,8394.80242656541,8474.5594604246,8549.84451144777,8612.53926452892,8660.32970708574,8747.18842375446
"N1115","QUARTERLY","MACRO","medianPertBEAT",8274.4045563878,8346.14880600913,8398.53592931574,8471.11710904567,8544.46787665311,8613.41572178046,8663.14510321143,8736.329367207
