"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0352","YEARLY","FINANCE","Auto.Arima",7645.23099284194,7881.67231671423,8118.11364058652,8354.55496445881,8590.9962883311,8827.43761220339
"N0352","YEARLY","FINANCE","BSTS",7914.26042230656,8216.43567698602,8479.70489616422,8730.21113840486,9053.41498903885,9381.18758609325
"N0352","YEARLY","FINANCE","ETS",7787.85590380916,8018.75517720742,8249.65445060567,8480.55372400392,8711.45299740218,8942.35227080043
"N0352","YEARLY","FINANCE","THETA",7827.47479240279,7941.81496334296,8056.15513428313,8170.4953052233,8284.83547616347,8399.17564710364
"N0352","YEARLY","FINANCE","BEA",7782.44910631922,8038.95439030256,8282.49099578547,8521.77327562253,8785.28809159071,9050.32582303236
"N0352","YEARLY","FINANCE","EAT",7753.52056301797,7947.41415242154,8141.30774182511,8335.20133122868,8529.09492063225,8722.98851003582
"N0352","YEARLY","FINANCE","BAT",7795.6554025171,8013.30765234774,8217.99122367796,8418.42046936233,8643.08225117781,8869.26694846676
"N0352","YEARLY","FINANCE","BET",7843.19703950617,8059.0019391788,8261.83816035101,8460.42005587736,8683.23448753483,8907.57183466577
"N0352","YEARLY","FINANCE","BEAT",7793.70552784011,8014.66953356266,8225.90703040989,8433.95378302273,8660.1749377339,8887.53827905018
"N0352","YEARLY","FINANCE","medianBEAT",7807.66534810598,7980.28507027519,8183.8840455961,8417.55434423137,8651.22464286664,8884.89494150191
"N0352","YEARLY","FINANCE","meanBaggedBEAT",7827.00862467488,8050.52665405886,8291.54709531307,8496.0829732175,8720.38213085189,8952.30920167706
"N0352","YEARLY","FINANCE","medianBaggedBEAT",7793.51504124618,7987.09507716989,8275.09582810086,8443.56895981933,8683.27663842163,8910.63418859583
"N0352","YEARLY","FINANCE","meanPertBEAT",7914.99528353615,8134.33321218604,8371.86724908574,8603.96152898608,8826.10931969572,9058.82680613585
"N0352","YEARLY","FINANCE","medianPertBEAT",7424.45623303318,7619.67702574112,7836.43359167067,8048.15293863873,8252.15098042645,8469.29717337355
