"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N2838","OTHER","FINANCE","Auto.Arima",6170.52,6170.52,6170.52,6170.52,6170.52,6170.52,6170.52,6170.52
"N2838","OTHER","FINANCE","BSTS",6176.06407180281,6179.84957832775,6183.42511408735,6188.42234361216,6191.95417529115,6198.60565028935,6203.07237484609,6208.68838572733
"N2838","OTHER","FINANCE","ETS",6170.66331713325,6170.66331713325,6170.66331713325,6170.66331713325,6170.66331713325,6170.66331713325,6170.66331713325,6170.66331713325
"N2838","OTHER","FINANCE","THETA",6171.14582134653,6171.61898470039,6172.09214805426,6172.56531140812,6173.03847476198,6173.51163811585,6173.98480146971,6174.45796482357
"N2838","OTHER","FINANCE","BEA",6172.41579631202,6173.67763182033,6174.86947707353,6176.53522024847,6177.7124974748,6179.92965580753,6181.41856399311,6183.29056762019
"N2838","OTHER","FINANCE","EAT",6170.77637949326,6170.93410061121,6171.09182172917,6171.24954284712,6171.40726396508,6171.56498508303,6171.72270620099,6171.88042731894
"N2838","OTHER","FINANCE","BAT",6172.57663104978,6173.99618767605,6175.3457540472,6177.16921834009,6178.50421668438,6180.87909613507,6182.5257254386,6184.55545018363
"N2838","OTHER","FINANCE","BET",6172.62440342753,6174.0439600538,6175.39352642495,6177.21699071784,6178.55198906213,6180.92686851282,6182.57349781635,6184.60322256138
"N2838","OTHER","FINANCE","BEAT",6172.09830257065,6173.16297004035,6174.17514481871,6175.54274303838,6176.54399179659,6178.32515138461,6179.56012336226,6181.08241692104
"N2838","OTHER","FINANCE","medianBEAT",6170.90456923989,6171.14115091682,6171.37773259375,6171.61431427068,6171.85089594761,6172.08747762455,6172.32405930148,6172.56064097841
"N2838","OTHER","FINANCE","meanBaggedBEAT",6174.97481461104,6175.37588624574,6178.45897564546,6179.06609280809,6180.76503766893,6182.38942205092,6184.14489533792,6185.57231201694
"N2838","OTHER","FINANCE","medianBaggedBEAT",6174.15348199268,6171.30991360677,6178.85321606013,6175.0137661625,6177.70147360017,6180.29545010228,6182.13331401954,6181.34624697176
"N2838","OTHER","FINANCE","meanPertBEAT",6181.96738038736,6184.01402193925,6184.80645012442,6186.52668600578,6188.32286479177,6191.43974895181,6192.14410092022,6196.13612242477
"N2838","OTHER","FINANCE","medianPertBEAT",6185.70798087658,6188.42137366088,6189.3467425857,6189.20858917384,6192.39030423658,6195.74692115489,6196.43367992668,6200.15958168217
