"Series","Period","Type","method","V1","V2","V3","V4","V5","V6"
"N0431","YEARLY","DEMOGRAPHIC","Auto.Arima",4902.47527388114,4995.32378675053,5102.09541876742,5200.68992162274,5304.08690017453,5404.66335671187
"N0431","YEARLY","DEMOGRAPHIC","BSTS",4886.58342135769,4937.78953291319,4985.97140019772,5025.25205419981,5079.41825359171,5132.43294579904
"N0431","YEARLY","DEMOGRAPHIC","ETS",4854.79746759106,4862.64943119991,4870.50139480876,4878.3533584176,4886.20532202645,4894.05728563529
"N0431","YEARLY","DEMOGRAPHIC","THETA",4838.74917760773,4891.75639738795,4944.76361716817,4997.77083694839,5050.77805672861,5103.78527650883
"N0431","YEARLY","DEMOGRAPHIC","BEA",4881.28538760996,4931.92091695454,4986.1894045913,5034.76511141338,5089.9034919309,5143.7178627154
"N0431","YEARLY","DEMOGRAPHIC","EAT",4865.34063969331,4916.57653844613,4972.45347691478,5025.60470566291,5080.3567596432,5134.16863961867
"N0431","YEARLY","DEMOGRAPHIC","BAT",4875.93595761552,4941.62323901722,5010.9434787111,5074.57093759031,5144.76107016495,5213.62719300658
"N0431","YEARLY","DEMOGRAPHIC","BET",4860.04335551883,4897.39845383368,4933.74547072488,4967.12541652194,5005.46721078226,5043.42516931439
"N0431","YEARLY","DEMOGRAPHIC","BEAT",4870.65133510941,4921.8797870629,4975.83295773552,5025.51654279714,5080.12213313032,5133.73471616376
"N0431","YEARLY","DEMOGRAPHIC","medianBEAT",4870.69044447437,4914.77296515057,4965.36750868295,5011.5114455741,5065.09815516016,5118.10911115394
"N0431","YEARLY","DEMOGRAPHIC","meanBaggedBEAT",4897.87737190478,4945.36293288361,5012.47357396286,5065.40501097561,5127.78996819669,5182.67207608511
"N0431","YEARLY","DEMOGRAPHIC","medianBaggedBEAT",4896.65330795123,4952.75159725242,5018.14967782831,5072.98193032247,5136.66781448043,5193.5291888305
"N0431","YEARLY","DEMOGRAPHIC","meanPertBEAT",4883.89886827519,4947.27400812205,5012.04217754379,5077.06358068822,5141.39370796832,5206.29117676057
"N0431","YEARLY","DEMOGRAPHIC","medianPertBEAT",4881.46361060002,4949.08391748581,5010.5596446076,5072.19393865647,5132.56795282952,5194.61976996564
