"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N0790","QUARTERLY","MICRO","Auto.Arima",8266.14129103462,8348.17784281221,8316.85061786419,8010.18679159653,8010.18679159653,8010.18679159653,8010.18679159653,8010.18679159653
"N0790","QUARTERLY","MICRO","BSTS",9218.71920313753,9324.34103719253,8651.40527557111,9213.97236630364,9758.26289805491,9761.62363090088,9046.53340606378,9579.95179185772
"N0790","QUARTERLY","MICRO","ETS",11205.4451278274,11488.6318440678,11771.8185603081,12055.0052765484,12338.1919927888,12621.3787090291,12904.5654252694,13187.7521415098
"N0790","QUARTERLY","MICRO","THETA",8862.17244109064,9146.27507125148,7738.92235209813,8792.30021502497,9339.1971889949,9632.05520053876,8144.56847204266,9247.19952432125
"N0790","QUARTERLY","MICRO","BEA",9563.43520733319,9720.38357469083,9580.02481791446,9759.72147814953,10035.5472274801,10131.0630438422,9987.09520764324,10259.2969083213
"N0790","QUARTERLY","MICRO","EAT",9444.5862866509,9661.02825271048,9275.86384342347,9619.16409438998,9895.85865779339,10087.8735670548,9686.44022963621,10148.3794858092
"N0790","QUARTERLY","MICRO","BAT",8782.34431175426,8939.59798375207,8235.72608184448,8672.15312430838,9035.88229288211,9134.62187434539,8400.42955656766,8945.7793692585
"N0790","QUARTERLY","MICRO","BET",9762.11225735186,9986.41598417059,9387.38206265911,10020.4259526257,10478.5506932795,10671.6858468229,10031.8891011253,10671.6344858962
"N0790","QUARTERLY","MICRO","BEAT",9388.11951577255,9576.85644883099,9119.74920146038,9517.86616236839,9861.45971785877,10006.3110830163,9526.4635237431,10006.2725623213
"N0790","QUARTERLY","MICRO","medianBEAT",9040.44582211408,9235.30805422201,8484.12794671765,9003.1362906643,9548.73004352491,9696.83941571982,8595.55093905322,9413.57565808948
"N0790","QUARTERLY","MICRO","meanBaggedBEAT",9263.02114780654,9615.85330570058,8762.52686155285,9101.80639937904,9651.62819180685,9977.79513552216,9194.12936934324,9539.817569193
"N0790","QUARTERLY","MICRO","medianBaggedBEAT",9236.14643505428,9381.91755448209,8814.7826609508,8928.36698032828,9547.9174308342,9720.78965955226,9064.00984791069,9383.09204923832
"N0790","QUARTERLY","MICRO","meanPertBEAT",8843.27481426401,8974.55203878449,8505.03589691306,8861.18224627598,9074.74720207531,9274.67940328118,8778.81833222498,9167.66381146432
"N0790","QUARTERLY","MICRO","medianPertBEAT",9155.63540769047,9266.08190427628,8706.52868688223,9140.82368089289,9468.73781669864,9513.01893319879,9104.82879815508,9378.76354539219
