"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N0818","QUARTERLY","MICRO","Auto.Arima",8752.49277204485,8315.42495348473,8711.35626915164,9123.93672443433,8865.80938417394,8534.766147658,8673.04349532024,9151.14762197975
"N0818","QUARTERLY","MICRO","BSTS",8917.48837840762,8264.84071427688,9455.47252367576,9290.47852566143,9199.50207695517,8557.92830622979,9737.48955067607,9584.09994079815
"N0818","QUARTERLY","MICRO","ETS",8722.91613707345,7969.21910456418,9176.95466556892,8855.12895577515,8722.91613707345,7969.21910456418,9176.95466556892,8855.12895577515
"N0818","QUARTERLY","MICRO","THETA",8812.6868438049,7938.78198868976,9582.64243277601,9021.090885659,8970.32355165888,8080.15454657113,9752.5322514346,9180.31927021233
"N0818","QUARTERLY","MICRO","BEA",8797.63242917531,8183.16159077526,9114.59448613211,9089.84806862364,8929.40919940086,8353.97118615066,9195.82923718841,9196.79217285102
"N0818","QUARTERLY","MICRO","EAT",8762.69858430773,8074.47534891289,9156.98445583219,9000.05218862283,8853.01635763542,8194.71326626444,9200.84347077459,9062.19861598907
"N0818","QUARTERLY","MICRO","BAT",8827.55599808579,8173.01588548379,9249.8237418678,9145.16871191825,9011.878337596,8390.94966681964,9387.68843247697,9305.18894433008
"N0818","QUARTERLY","MICRO","BET",8817.69711976199,8057.61393584361,9405.02320734023,9055.56612236519,8964.24725522917,8202.43398578837,9555.65882255986,9206.51605559521
"N0818","QUARTERLY","MICRO","BEAT",8801.3960328327,8122.06669025389,9231.60647279308,9072.65877288248,8939.63778746536,8285.51702625577,9335.00499074996,9192.67394719134
"N0818","QUARTERLY","MICRO","medianBEAT",8782.58980792487,8117.02990942053,9316.21359462234,9072.51380504667,8918.06646791641,8307.46034711457,9457.2221081225,9165.73344609604
"N0818","QUARTERLY","MICRO","meanBaggedBEAT",8845.57376188286,8146.20927643018,9358.757547146,8979.03940520589,9015.57526392895,8331.23085346069,9515.48011695572,9137.91128796779
"N0818","QUARTERLY","MICRO","medianBaggedBEAT",8830.98627623654,8150.48680082526,9377.21074026952,9015.81811261353,9016.68346594395,8390.94776204204,9564.96546410206,9188.7623486215
"N0818","QUARTERLY","MICRO","meanPertBEAT",8831.1900214079,8131.39568738259,9245.3334439118,8969.7922227102,8979.385032154,8291.31152691704,9378.71170614505,9105.18167986496
"N0818","QUARTERLY","MICRO","medianPertBEAT",8848.87148085723,8132.30650410889,9229.89981534109,8963.09997263966,8974.90267156364,8343.02862919828,9358.41630454179,9101.3104424925
