"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N2897","OTHER","OTHER","Auto.Arima",7383,7383,7383,7383,7383,7383,7383,7383
"N2897","OTHER","OTHER","BSTS",7352.0296097751,7319.93968158978,7281.8675633889,7250.36773828029,7206.87449693747,7168.50537946337,7127.44680784256,7084.63215145445
"N2897","OTHER","OTHER","ETS",7383.00564282138,7383.00564282138,7383.00564282138,7383.00564282138,7383.00564282138,7383.00564282138,7383.00564282138,7383.00564282138
"N2897","OTHER","OTHER","THETA",7379.16742264864,7375.3296250296,7371.49182741055,7367.6540297915,7363.81623217245,7359.97843455341,7356.14063693436,7352.30283931531
"N2897","OTHER","OTHER","BEA",7372.67841753216,7361.98177480372,7349.29106873676,7338.79112703389,7324.29337991962,7311.50367409491,7297.81748355465,7283.54593142528
"N2897","OTHER","OTHER","EAT",7381.72435515667,7380.44508928366,7379.16582341064,7377.88655753763,7376.60729166461,7375.32802579159,7374.04875991858,7372.76949404556
"N2897","OTHER","OTHER","BAT",7371.39901080791,7359.42310220646,7345.45313026648,7333.6739226906,7317.89690970331,7303.82793800559,7288.86248159231,7273.31166358992
"N2897","OTHER","OTHER","BET",7371.40089174837,7359.42498314692,7345.45501120694,7333.67580363105,7317.89879064377,7303.82981894605,7288.86436253276,7273.31354453038
"N2897","OTHER","OTHER","BEAT",7374.30066881128,7365.31873736019,7354.84125840521,7346.00685272329,7334.17409298282,7323.62236420954,7312.39827189957,7300.73515839778
"N2897","OTHER","OTHER","medianBEAT",7381.08371132432,7379.1648125148,7377.24591370527,7375.32701489575,7373.40811608623,7371.4892172767,7369.57031846718,7367.65141965766
"N2897","OTHER","OTHER","meanBaggedBEAT",7411.3520204964,7406.06459002226,7396.93158296557,7388.28441151527,7384.30042961513,7375.72577804983,7369.33829291953,7365.09864091747
"N2897","OTHER","OTHER","medianBaggedBEAT",7405.89122144727,7398.93795212711,7392.03663748253,7383.21767362003,7377.31646353124,7370.88192269673,7363.95907415796,7357.79783910101
"N2897","OTHER","OTHER","meanPertBEAT",7402.71822607882,7398.4737359388,7390.43546752909,7384.8407368035,7383.32619768647,7380.58185495674,7383.59451295704,7374.41374122617
"N2897","OTHER","OTHER","medianPertBEAT",7412.55765880812,7407.56177228828,7398.29884512334,7398.48839819878,7394.53378505044,7389.9833398029,7385.61952122408,7380.66343528946
