"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"N1413","MONTHLY","MICRO","Auto.Arima",3422.85650745167,8678.20277999489,3980.73451761044,6835.21854572595,4599.95786478096,6076.01701107461,4984.68069141561,5732.77726384624,5193.49476084862,5569.39245592329,5301.44205108676,5489.60887346634,5356.14530182258,5450.18093553427,5383.63071540596,5430.58991943597,5397.38904131906,5420.83166991747
"N1413","MONTHLY","MICRO","BSTS",5739.7468041074,6046.19596175482,5348.14392058812,5811.6905465785,4750.57871411027,5533.91035673953,3131.319290341,6136.60896350776,7048.7031277972,6649.41101001912,4840.18526146386,7938.92353999181,5670.0418695925,5599.8738256092,5310.56399600101,5663.2441609359,5182.39552914421,5906.52588916925
"N1413","MONTHLY","MICRO","ETS",5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219,5428.92218904219
"N1413","MONTHLY","MICRO","THETA",5546.10169673109,5548.42150465426,5550.74131257742,5553.06112050059,5555.38092842376,5557.70073634693,5560.0205442701,5562.34035219327,5564.66016011644,5566.97996803961,5569.29977596278,5571.61958388595,5573.93939180912,5576.25919973229,5578.57900765546,5580.89881557863,5583.21862350179,5585.53843142496
"N1413","MONTHLY","MICRO","BEA",4863.84183353375,6717.7736435973,4919.26687574692,6025.27709378222,4926.48625597781,5679.61651895211,4514.97405693294,5766.1028054654,5890.37335922934,5882.5752183282,5190.1831671976,6285.81820083345,5485.03645348576,5492.99231672856,5374.37230014972,5507.58542313802,5336.23558650182,5585.42658270964
"N1413","MONTHLY","MICRO","EAT",4799.29346440832,6551.84882456378,4986.79933974335,5939.06728508958,5194.75366074897,5687.54664548791,5324.54114157597,5574.67993502723,5395.69237000242,5521.7648710017,5433.22133869725,5496.7168821315,5453.00229422463,5485.12077476958,5463.71063736787,5480.1369746856,5469.84328462101,5478.43076346154
"N1413","MONTHLY","MICRO","BAT",4902.90166943005,6757.60674880132,4959.87325025866,6066.65673760168,4968.639169105,5722.54270138702,4558.67350867557,5810.57552651576,5935.61934958742,5928.594477994,5236.97569617113,6333.3839991147,5533.37552107473,5542.10465362525,5424.25790635414,5558.24429865016,5387.66773132169,5637.63199683723
"N1413","MONTHLY","MICRO","BET",5571.59022996023,5674.51321848376,5442.60247406925,5597.89128537376,5244.96061052541,5506.84442737622,4706.75400788443,5709.29050158107,6014.09515898528,5881.77105570031,5279.46907548961,6313.15510430665,5557.63448348127,5535.01840479456,5439.35506423289,5557.6883885189,5398.17878056273,5640.32883654547
"N1413","MONTHLY","MICRO","BEAT",5034.40679933309,6425.43560886154,5077.13548495454,5907.22310046181,5083.7099240893,5649.13757330082,4776.23567876723,5715.16219214737,5808.94505945111,5803.67640575605,5284.9623193889,6107.26854659658,5507.2621880666,5513.80903747949,5425.42397702615,5525.91377124817,5397.98134575181,5585.45454488847
"N1413","MONTHLY","MICRO","medianBEAT",5487.51194288664,5797.30873320454,5388.53305481516,5682.37583353955,5089.75045157623,5545.80554654323,5206.8014402289,5647.55880801976,5496.79117457932,5568.18621198145,5365.18212006448,5530.61422867615,5501.43079042565,5513.22006763328,5406.27645222407,5505.7443675073,5413.15561518062,5507.23031023358
"N1413","MONTHLY","MICRO","meanBaggedBEAT",6198.25458651893,6069.75673187263,5973.64402538394,6071.47949848611,6167.04407026353,5900.6998479617,6300.82397555809,5915.66917183393,6724.04818121579,6017.53394347194,6340.4167123855,6359.94329210016,6510.8592697867,6671.46689754704,6495.2729029268,6642.45207993101,6457.23503236628,6423.76584388407
"N1413","MONTHLY","MICRO","medianBaggedBEAT",5298.06970398238,5971.97108391125,4959.26026353316,6118.68264693345,5338.3950052828,6243.57499111586,5487.07009365769,6227.01179195952,5871.85907684175,6384.99459786849,5591.81718181181,6675.83145350564,5497.37234173492,6719.49948761612,5583.93748356581,6641.48801583176,5691.91482024176,6604.67102170698
"N1413","MONTHLY","MICRO","meanPertBEAT",8614.83734584364,8266.80672314907,7698.73543287221,8414.72188162808,8492.2206555804,6985.3004481527,8126.50504100459,7611.08232474516,8835.95315093795,7373.8662658921,8333.63729950788,7417.97848475125,8997.80009839713,8853.76536190555,8186.44174408634,8725.27505456905,8954.60746349009,7484.29616385141
"N1413","MONTHLY","MICRO","medianPertBEAT",5901.51996857425,7685.48701535051,5552.35316817894,8087.53354878637,8127.13599691917,6576.9703154949,7208.05986645576,8012.34682470187,7814.25635767285,6769.33799502666,6112.80308582112,6545.01364804417,6003.28469906877,8004.32020358548,5995.57115393361,8309.87707730939,8237.31017517299,6836.34229630791
