"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"N1704","MONTHLY","MICRO","Auto.Arima",1417.11566280307,1054.3150188074,861.794538263662,983.933930191197,648.653021124842,804.346648484854,811.871800670917,903.985493853856,1311.30463789805,1347.50485858728,1532.46153351326,885.302297056965,1207.71683830893,886.969087296227,716.764011367463,824.746000702862,528.328121296309,665.975012637907
"N1704","MONTHLY","MICRO","BSTS",1229.40376317885,515.092985328504,433.724934125324,327.463509127742,-335.638403677481,45.9056343115289,-129.643471051749,721.313401887549,1548.65811603434,1450.1651776816,1779.78388096335,589.04492451427,965.139829791631,207.789269093077,114.89524328102,88.4013571581956,-658.165655566238,-304.910215763317
"N1704","MONTHLY","MICRO","ETS",1234.55581099648,987.757342121727,976.186612664586,1024.4348477874,701.652967221453,871.033195104508,835.290172523386,1111.21826798724,1298.40892124122,1421.39779701702,1571.26114966143,1004.461894709,1204.19107723185,964.337123284725,953.875772295758,1001.86796260515,686.756718244514,853.212654224875
"N1704","MONTHLY","MICRO","THETA",1286.5174287671,1023.59049290128,938.854926117826,817.764309096262,631.111903649214,784.0204648561,733.818778671579,963.425272818404,1192.47922601837,1068.37282030284,1099.00073003074,721.924995893238,875.960940668927,688.015754034143,622.41479860371,534.172287076384,405.735792526523,495.451684122304
"N1704","MONTHLY","MICRO","BEA",1293.69174565946,852.388448752542,757.235361684524,778.610762368779,338.222528222938,573.761825966964,505.839500714185,912.17238790955,1386.12389172454,1406.35594442863,1627.83552137934,826.269705426746,1125.68258177747,686.365159891343,595.178342314747,638.338440155402,185.639727991528,404.759150366488
"N1704","MONTHLY","MICRO","EAT",1312.72963418888,1021.88761794347,925.612025682025,942.044362358286,660.47263066517,819.800102815154,793.660250621961,992.876344886501,1267.39759505255,1279.09182530238,1400.90780440181,870.563062553068,1095.95628540324,846.440654871698,764.35152742231,786.928750128132,540.273544022448,671.546450328362
"N1704","MONTHLY","MICRO","BAT",1311.01228491634,864.332832345727,744.791466168937,709.720582805067,314.708840365525,544.757582550828,472.015702763582,862.908056186603,1350.81399331692,1288.68095219057,1470.41538150245,732.090739154824,1016.2725362565,594.258036807816,484.691351084064,482.439881645814,91.9660860855311,285.505493665631
"N1704","MONTHLY","MICRO","BET",1250.15900098081,842.14694011717,782.922157635912,723.220888670467,332.375489064395,566.986431424046,479.821826714405,931.985647564399,1346.51542109798,1313.31193166715,1483.34858688517,771.810605038837,1015.09728256414,620.047382137315,563.728604726829,541.480535613243,144.7756184016,347.918040861287
"N1704","MONTHLY","MICRO","BEAT",1291.89816643637,895.188959789727,802.640252792849,788.39914905065,411.444872079507,626.326485689248,562.834320203533,924.985609136763,1337.71272529799,1321.86016339719,1495.62682354219,800.183528043369,1063.25217150034,686.777808427043,601.987456386988,612.296901885648,240.663744125277,427.432283805442
"N1704","MONTHLY","MICRO","medianBEAT",1260.53661988179,1005.6739175115,900.324732190744,900.84911964373,639.882462387028,794.183556670477,772.845289671248,933.70538333613,1304.85677956963,1384.45132780215,1551.86134158734,803.613646475101,1084.66545351174,787.492420665185,669.589404985586,679.459143889623,467.031956911416,580.713348380105
"N1704","MONTHLY","MICRO","meanBaggedBEAT",1185.67108836751,929.643047254074,831.292230113256,767.747688088881,539.211960032903,709.857144987161,644.957351079974,901.883187001576,1250.76240309746,1211.80877122784,1359.21968591481,808.601423568428,954.62691559649,701.833924733373,609.521614367345,536.604171796693,340.122835065518,500.249095980247
"N1704","MONTHLY","MICRO","medianBaggedBEAT",1144.86546306452,927.152119100254,818.903537855048,791.203743935888,502.256481371658,728.393243773801,631.321741963616,909.763205190034,1236.49786908025,1163.62741401594,1350.45650640412,800.831852155121,847.441198642716,686.833033978155,594.735373844929,566.259793974912,347.562919611145,489.961599279701
"N1704","MONTHLY","MICRO","meanPertBEAT",1337.40276529067,911.659068833001,832.156737257359,757.738684684819,439.918420589166,663.357185190848,652.626866929294,934.896343858012,1317.7516296113,1238.8847334366,1483.93325720449,806.320676239755,1078.78257102235,705.436048314516,619.886099757693,557.256444524402,278.719720557132,471.036336177466
"N1704","MONTHLY","MICRO","medianPertBEAT",1301.72550367084,886.824230680299,839.935508391026,745.403078309412,429.037005092913,608.841564239832,654.7451244742,933.499410598169,1331.61950451417,1253.13866036941,1461.99667760952,752.399489796887,1027.28827160993,660.099451993226,589.142338997236,506.342833541141,265.050343040669,402.831287499004
