"Series","Period","Type","method","V1","V2","V3","V4","V5","V6","V7","V8"
"N2875","OTHER","OTHER","Auto.Arima",3064.45176769227,3355.86536740654,3529.14016023316,3632.16951047127,3693.43085632155,3729.85690857476,3751.51587254849,3764.39431232984
"N2875","OTHER","OTHER","BSTS",2714.07744576269,2624.8075533874,2588.73815309496,2485.87659187517,2402.22649587269,2291.87003510636,2187.66347652839,2104.54258721513
"N2875","OTHER","OTHER","ETS",2805.04551951303,2805.04551951303,2805.04551951303,2805.04551951303,2805.04551951303,2805.04551951303,2805.04551951303,2805.04551951303
"N2875","OTHER","OTHER","THETA",2794.74292173167,2784.44136237553,2774.13980301939,2763.83824366326,2753.53668430712,2743.23512495098,2732.93356559485,2722.63200623871
"N2875","OTHER","OTHER","BEA",2861.191577656,2928.57281343566,2974.30794428039,2974.36387395316,2966.90095723576,2942.25748773139,2914.7416228633,2891.32747301934
"N2875","OTHER","OTHER","EAT",2888.08006964566,2981.78408309837,3036.1084942552,3067.01775788252,3084.00435338057,3092.71251767959,3096.49831921879,3097.35727936053
"N2875","OTHER","OTHER","BAT",2857.75737839554,2921.70476105649,2964.00603878251,2960.62811533657,2949.73134550045,2921.65402287737,2890.70430489057,2863.8563019279
"N2875","OTHER","OTHER","BET",2771.28862900246,2738.09814509199,2722.64115854246,2684.92011835049,2653.60289989761,2613.38355985679,2575.21418721209,2544.07337098896
"N2875","OTHER","OTHER","BEAT",2844.57941367492,2892.53995067062,2924.26590896514,2921.73246638068,2913.5598890036,2892.50189703629,2869.28960854619,2849.15360632418
"N2875","OTHER","OTHER","medianBEAT",2799.89422062235,2794.74344094428,2789.59266126621,2784.44188158814,2779.29110191008,2774.14032223201,2768.98954255394,2763.83876287587
"N2875","OTHER","OTHER","meanBaggedBEAT",2872.81990386396,2879.09725513819,2857.54556469836,2846.39341259331,2825.07143323836,2800.89883161389,2774.36812231654,2771.34136742376
"N2875","OTHER","OTHER","medianBaggedBEAT",2903.61806639639,2897.56697054047,2885.92858650817,2872.03280915715,2858.66755338352,2846.23406232402,2833.33510998359,2826.12953506269
"N2875","OTHER","OTHER","meanPertBEAT",2921.34118392834,2931.77591978073,2926.34929320658,2907.04354013544,2875.44178631221,2853.89601413485,2825.7535301338,2828.20903239688
"N2875","OTHER","OTHER","medianPertBEAT",2920.69341001882,2893.80461808409,2922.20038817886,2897.48034362922,2860.33451601325,2826.21123911213,2772.12710767744,2813.34534128903
